_id,CrashFactId,Name,MinorInjuries,ModerateInjuries,SevereInjuries,FatalInjuries,TcrNumber,CityDamageFlag,ShortFormFlag,Distance,CrashDateTime,PedestrianAction,RoadwaySurface,RoadwayCondition,Lighting,PrimaryCollisionFactor,TrafficControl,Weather,CollisionType,ProximityToIntersection,VehicleInvolvedWith,PedestrianDirectionFrom,PedestrianDirectionTo,DirectionFromIntersection,Comment,SpeedingFlag,HitAndRunFlag,IntersectionNumber,AStreetName,BStreetName,Latitude,Longitude
1939,688873,CR-0000094729,0,1,0,0,22-275-0589,False,False,0,10/2/2022 4:59:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,No Controls Present/Factor,Clear,Head On,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,False,False,2166,AIDA AV,ENESCO AV,37.3169444,-121.8194771
1940,711760,CR-0000101379,0,1,0,0,23-309-0087,False,False,50,11/5/2023 1:19:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,No Controls Present/Factor,Clear,Sideswipe,Related,Parked Vehicle,Not Applicable,Not Applicable,East Of,,True,False,2166,AIDA AV,ENESCO AV,37.3169444,-121.8194771
1941,689147,CR-0000095003,0,0,0,0,22-320-9701,False,True,0,11/12/2022 10:30:00 PM,No Pedestrians Involved,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Sideswipe,Intersection,Parked Vehicle,Not Applicable,Not Applicable,At,,False,True,45320,CREEKFIELD CT,SUMMERCREEK DR,37.28120502,-121.8663543
1942,699042,CR-0000100348,1,0,0,0,23-189-0009,False,False,0,7/8/2023 12:05:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,No Controls Present/Factor,Clear,Broadside,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,False,True,82147,LATIMER AV,SARATOGA AV,37.29865743,-121.9840704
1943,690802,CR-0000096940,0,0,0,0,23-012-0594,False,False,0,1/12/2023 4:36:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Unknown,Clear,Hit Object,Intersection,Fixed Object,Not Applicable,Not Applicable,At,HYDRANT,False,False,82147,LATIMER AV,SARATOGA AV,37.29865743,-121.9840704
1944,690780,CR-0000096918,0,0,0,0,23-019-0313,True,False,182,1/19/2023 6:58:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Other Than Driver,No Controls Present/Factor,Clear,Hit Object,Non-Related,Fixed Object,Not Applicable,Not Applicable,North Of,LIGHT POLE,False,False,82147,LATIMER AV,SARATOGA AV,37.29865743,-121.9840704
1945,698950,CR-0000100252,1,0,0,0,23-314-0629,False,False,0,11/10/2023 5:48:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - No Street Light,Violation Driver 1,No Controls Present/Factor,Clear,Vehicle/Bike,Intersection,Bike,Not Applicable,Not Applicable,At,,False,False,41931,COLOMBO DR,SARATOGA AV,37.29990892,-121.9826445
1946,722512,CR-0000103827,0,0,0,0,24-108-4011,False,True,51,4/17/2024 6:40:00 PM,No Pedestrians Involved,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Broadside,Non-Related,Other Vehicle,Not Applicable,Not Applicable,North Of,,False,False,41931,COLOMBO DR,SARATOGA AV,37.29990892,-121.9826445
1947,689060,CR-0000094926,5,0,0,0,22-280-0235,False,False,20,10/7/2022 8:21:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Rear End,Related,Other Vehicle,Not Applicable,Not Applicable,North Of,,False,False,32977,CAPITOL EX,SINCLAIR FR,37.35552843,-121.8359087
1948,688942,CR-0000094800,0,2,0,0,22-281-0372,False,False,418,10/8/2022 11:57:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Rear End,Non-Related,Other Vehicle,Not Applicable,Not Applicable,South Of,,False,False,32977,CAPITOL EX,SINCLAIR FR,37.35552843,-121.8359087
1949,687494,CR-0000094282,0,0,0,0,22-258-0207,False,False,200,9/15/2022 8:30:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,No Controls Present/Factor,Clear,Rear End,Non-Related,Other Vehicle,Not Applicable,Not Applicable,North Of,,False,True,32977,CAPITOL EX,SINCLAIR FR,37.35552843,-121.8359087
1950,681908,CR-0000091399,0,0,0,0,22-054-9704,False,True,,2/23/2022 6:45:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Unknown,Controls Functioning,Clear,Rear End,Related,Other Vehicle,Not Applicable,Not Applicable,Unknown,,False,False,32977,CAPITOL EX,SINCLAIR FR,37.35552843,-121.8359087
1951,685032,CR-0000093693,0,0,0,0,22-120-0860,False,False,0,7/31/2022 9:40:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,Controls Functioning,Clear,Rear End,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,True,False,37036,CHAUCER DR,KING RD,37.34244884,-121.8456172
1952,683110,CR-0000092678,0,1,0,0,22-160-0571,False,False,48,6/9/2022 3:47:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,No Controls Present/Factor,Clear,Rear End,Related,Other Vehicle,Not Applicable,Not Applicable,South Of,,True,False,37036,CHAUCER DR,KING RD,37.34244884,-121.8456172
1953,689839,CR-0000095865,0,0,0,0,22-338-0701,False,False,0,12/4/2022 7:45:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,Controls Functioning,Clear,Rear End,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,True,True,37036,CHAUCER DR,KING RD,37.34244884,-121.8456172
